date,open,high,low,close,volume
2024-09-03,1322.56,1339.54,1317.58,1334.56,17888
2024-09-04,1326.56,1343.75,1324.3,1324.56,14211
2024-09-05,1325.06,1331.56,1321.56,1329.44,14503
2024-09-06,1329.56,1330.56,1322.56,1322.56,10321
2024-09-09,1304.57,1318.27,1294.64,1299.56,28638
2024-09-10,1294.58,1317.56,1294.58,1302.56,19803
2024-09-11,1300.16,1310.44,1289.56,1304.56,20996
2024-09-12,1304.56,1309.56,1259.47,1259.62,47948
2024-09-13,1255.56,1256.56,1221.86,1228.69,56005
2024-09-18,1224.56,1224.57,1191.22,1191.46,46185
2024-09-19,1186.56,1217.44,1170.39,1185.56,59988
2024-09-20,1186.06,1198.46,1174.59,1188.48,39982
2024-09-23,1192.56,1218.06,1185.22,1186.1,45550
2024-09-24,1209.65,1297.56,1189.65,1297.16,100413
2024-09-25,1324.61,1351.56,1321.27,1323.56,73954
2024-09-26,1324.52,1454.43,1320.56,1453.56,97278
2024-09-27,1524.56,1553.76,1489.92,1553.76,87922
2024-09-30,1616.56,1684.44,1576.56,1672.56,157293
2024-10-08,1834.56,1834.56,1604.74,1647.56,194709
2024-10-09,1624.56,1624.56,1514.56,1519.71,120197
2024-10-10,1546.82,1592.64,1515.56,1564.56,74603
2024-10-11,1539.96,1564.52,1514.56,1529.55,41915
2024-10-14,1537.56,1545.19,1505.73,1526.55,44812
2024-10-15,1523.56,1525.55,1477.57,1478.81,43571
2024-10-16,1465.44,1474.36,1434.56,1447.06,46664
2024-10-17,1461.56,1462.22,1417.97,1419.16,39460
2024-10-18,1417.56,1492.4,1403.52,1465.56,68619
2024-10-21,1465.77,1474.53,1445.77,1453.36,42008
2024-10-22,1451.12,1484.74,1448.76,1467.56,36269
2024-10-23,1468.67,1501.51,1456.56,1492.06,40088
2024-10-24,1485.56,1499.56,1469.57,1476.76,23923
2024-10-25,1471.56,1499.35,1470.57,1483.41,27745
2024-10-28,1484.56,1489.56,1446.79,1489.56,39121
2024-10-29,1484.56,1504.56,1454.56,1456.18,41166
